Solver Configuration,LTL,Instance,Result Code,Wall Time
BSaLTic-DHf,recurrence,abp10_k10.dimacs,UNSAT,0.04
BSaLTic-EHf,recurrence,abp10_k10.dimacs,UNSAT,0.04
Kissat,recurrence,abp10_k10.dimacs,UNSAT,0.041148
MapleCOMSPS,recurrence,abp10_k10.dimacs,UNSAT,0.04
BSaLTic-DHf,recurrence,abp10_k20.dimacs,UNSAT,1.2
BSaLTic-EHf,recurrence,abp10_k20.dimacs,UNSAT,1.23
Kissat,recurrence,abp10_k20.dimacs,UNSAT,0.934444
MapleCOMSPS,recurrence,abp10_k20.dimacs,UNSAT,1.01
BSaLTic-DHf,recurrence,abp10_k60.dimacs,UNSAT,48.97
BSaLTic-EHf,recurrence,abp10_k60.dimacs,UNSAT,51.28
Kissat,recurrence,abp10_k60.dimacs,UNSAT,55.8553
MapleCOMSPS,recurrence,abp10_k60.dimacs,UNSAT,60.37
BSaLTic-DHf,persistence,abp11_k100.dimacs,UNSAT,522.17
BSaLTic-EHf,persistence,abp11_k100.dimacs,UNSAT,406.03
Kissat,persistence,abp11_k100.dimacs,UNSAT,290.487
MapleCOMSPS,persistence,abp11_k100.dimacs,UNSAT,857.15
BSaLTic-DHf,persistence,abp11_k60.dimacs,UNSAT,69.03
BSaLTic-EHf,persistence,abp11_k60.dimacs,UNSAT,85.29
Kissat,persistence,abp11_k60.dimacs,UNSAT,43.6762
MapleCOMSPS,persistence,abp11_k60.dimacs,UNSAT,83.95
BSaLTic-DHf,persistence,abp4_k100.dimacs,UNSAT,578.81
BSaLTic-EHf,persistence,abp4_k100.dimacs,UNSAT,537.2
Kissat,persistence,abp4_k100.dimacs,UNSAT,286.092
MapleCOMSPS,persistence,abp4_k100.dimacs,UNSAT,857.43
BSaLTic-DHf,persistence,abp8_k60.dimacs,UNSAT,88.24
BSaLTic-EHf,persistence,abp8_k60.dimacs,UNSAT,53.11
Kissat,persistence,abp8_k60.dimacs,UNSAT,55.2348
MapleCOMSPS,persistence,abp8_k60.dimacs,UNSAT,75.87
BSaLTic-DHf,safety,adding.1_k1400.dimacs,UNSAT,1210.11
BSaLTic-EHf,safety,adding.1_k1400.dimacs,UNSAT,1198.65
Kissat,safety,adding.1_k1400.dimacs,UNSAT,332.418
MapleCOMSPS,safety,adding.1_k1400.dimacs,UNSAT,954.6
BSaLTic-DHf,safety,adding.1_k1600.dimacs,UNSAT,7112.74
BSaLTic-EHf,safety,adding.1_k1600.dimacs,UNSAT,4725.19
Kissat,safety,adding.1_k1600.dimacs,UNSAT,588.04
MapleCOMSPS,safety,adding.1_k1600.dimacs,UNSAT,4023.02
BSaLTic-DHf,safety,adding.1_k200.dimacs,UNSAT,589.82
BSaLTic-EHf,safety,adding.1_k200.dimacs,UNSAT,552.26
Kissat,safety,adding.1_k200.dimacs,UNSAT,198.434
MapleCOMSPS,safety,adding.1_k200.dimacs,UNSAT,550.46
BSaLTic-DHf,safety,adding.1_k2000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,adding.1_k2000.dimacs,UNSAT,557.14
Kissat,safety,adding.1_k2000.dimacs,UNSAT,644.218
MapleCOMSPS,safety,adding.1_k2000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,adding.1_k4000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,adding.1_k4000.dimacs,UNSAT,2579.58
Kissat,safety,adding.1_k4000.dimacs,UNSAT,1250.32
MapleCOMSPS,safety,adding.1_k4000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,adding.1_k6000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,adding.1_k6000.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,adding.1_k6000.dimacs,UNSAT,1564.41
MapleCOMSPS,safety,adding.1_k6000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,adding.1_obligation_0.smv_k100.dimacs,UNSAT,895.98
BSaLTic-EHf,obligation,adding.1_obligation_0.smv_k100.dimacs,UNSAT,830.72
Kissat,obligation,adding.1_obligation_0.smv_k100.dimacs,UNSAT,162.558
MapleCOMSPS,obligation,adding.1_obligation_0.smv_k100.dimacs,UNSAT,942.97
BSaLTic-DHf,obligation,adding.1_obligation_0.smv_k1000.dimacs,UNSAT,719.52
BSaLTic-EHf,obligation,adding.1_obligation_0.smv_k1000.dimacs,UNSAT,716.9
Kissat,obligation,adding.1_obligation_0.smv_k1000.dimacs,UNSAT,404.658
MapleCOMSPS,obligation,adding.1_obligation_0.smv_k1000.dimacs,UNSAT,2123.55
BSaLTic-DHf,obligation,adding.1_obligation_0.smv_k80.dimacs,UNSAT,234.86
BSaLTic-EHf,obligation,adding.1_obligation_0.smv_k80.dimacs,UNSAT,285.3
Kissat,obligation,adding.1_obligation_0.smv_k80.dimacs,UNSAT,73.806
MapleCOMSPS,obligation,adding.1_obligation_0.smv_k80.dimacs,UNSAT,420.8
BSaLTic-DHf,obligation,adding.1_obligation_0.smv_k800.dimacs,UNSAT,436.18
BSaLTic-EHf,obligation,adding.1_obligation_0.smv_k800.dimacs,UNSAT,603.01
Kissat,obligation,adding.1_obligation_0.smv_k800.dimacs,UNSAT,354.185
MapleCOMSPS,obligation,adding.1_obligation_0.smv_k800.dimacs,UNSAT,715.04
BSaLTic-DHf,reactivity,adding.1_reactivity_0.smv_k40.dimacs,UNSAT,8.8
BSaLTic-EHf,reactivity,adding.1_reactivity_0.smv_k40.dimacs,UNSAT,11.88
Kissat,reactivity,adding.1_reactivity_0.smv_k40.dimacs,UNSAT,3.3955
MapleCOMSPS,reactivity,adding.1_reactivity_0.smv_k40.dimacs,UNSAT,7.75
BSaLTic-DHf,reactivity,adding.1_reactivity_0.smv_k400.dimacs,UNSAT,326.68
BSaLTic-EHf,reactivity,adding.1_reactivity_0.smv_k400.dimacs,UNSAT,433.93
Kissat,reactivity,adding.1_reactivity_0.smv_k400.dimacs,UNSAT,299.552
MapleCOMSPS,reactivity,adding.1_reactivity_0.smv_k400.dimacs,UNSAT,425.96
BSaLTic-DHf,reactivity,adding.1_reactivity_0.smv_k600.dimacs,UNSAT,1836.81
BSaLTic-EHf,reactivity,adding.1_reactivity_0.smv_k600.dimacs,UNSAT,2291.21
Kissat,reactivity,adding.1_reactivity_0.smv_k600.dimacs,UNSAT,1971.19
MapleCOMSPS,reactivity,adding.1_reactivity_0.smv_k600.dimacs,UNSAT,1825.84
BSaLTic-DHf,reactivity,adding.1_reactivity_0.smv_k80.dimacs,UNSAT,150.53
BSaLTic-EHf,reactivity,adding.1_reactivity_0.smv_k80.dimacs,UNSAT,205.16
Kissat,reactivity,adding.1_reactivity_0.smv_k80.dimacs,UNSAT,75.1535
MapleCOMSPS,reactivity,adding.1_reactivity_0.smv_k80.dimacs,UNSAT,108.72
BSaLTic-DHf,reactivity,adding.1_reactivity_0.smv_k800.dimacs,UNSAT,2310.29
BSaLTic-EHf,reactivity,adding.1_reactivity_0.smv_k800.dimacs,UNSAT,1782.71
Kissat,reactivity,adding.1_reactivity_0.smv_k800.dimacs,UNSAT,981.045
MapleCOMSPS,reactivity,adding.1_reactivity_0.smv_k800.dimacs,UNSAT,2781.5
BSaLTic-DHf,persistence,adding.1_recurrence_0.smv_k1000.dimacs,UNSAT,2025.27
BSaLTic-EHf,persistence,adding.1_recurrence_0.smv_k1000.dimacs,UNSAT,924.61
Kissat,persistence,adding.1_recurrence_0.smv_k1000.dimacs,UNSAT,955.103
MapleCOMSPS,persistence,adding.1_recurrence_0.smv_k1000.dimacs,UNSAT,1344.26
BSaLTic-DHf,persistence,adding.1_recurrence_0.smv_k200.dimacs,UNSAT,614.08
BSaLTic-EHf,persistence,adding.1_recurrence_0.smv_k200.dimacs,UNSAT,430.54
Kissat,persistence,adding.1_recurrence_0.smv_k200.dimacs,UNSAT,335.677
MapleCOMSPS,persistence,adding.1_recurrence_0.smv_k200.dimacs,UNSAT,563.28
BSaLTic-DHf,persistence,adding.1_recurrence_0.smv_k400.dimacs,UNSAT,713.34
BSaLTic-EHf,persistence,adding.1_recurrence_0.smv_k400.dimacs,UNSAT,538.35
Kissat,persistence,adding.1_recurrence_0.smv_k400.dimacs,UNSAT,376.159
MapleCOMSPS,persistence,adding.1_recurrence_0.smv_k400.dimacs,UNSAT,555.38
BSaLTic-DHf,persistence,adding.1_recurrence_0.smv_k600.dimacs,UNSAT,492.22
BSaLTic-EHf,persistence,adding.1_recurrence_0.smv_k600.dimacs,UNSAT,865.12
Kissat,persistence,adding.1_recurrence_0.smv_k600.dimacs,UNSAT,670.282
MapleCOMSPS,persistence,adding.1_recurrence_0.smv_k600.dimacs,UNSAT,835.03
BSaLTic-EHf,guarantee,adding.1_safety_0.smv_k1000.dimacs,UNSAT,1439.5
BSaLTic-DHf,guarantee,adding.1_safety_0.smv_k1000.dimacs,UNSAT,711.04
Kissat,guarantee,adding.1_safety_0.smv_k1000.dimacs,UNSAT,315.873
MapleCOMSPS,guarantee,adding.1_safety_0.smv_k1000.dimacs,UNSAT,2003.02
BSaLTic-EHf,guarantee,adding.1_safety_0.smv_k200.dimacs,UNSAT,320.72
BSaLTic-DHf,guarantee,adding.1_safety_0.smv_k200.dimacs,UNSAT,430.43
Kissat,guarantee,adding.1_safety_0.smv_k200.dimacs,UNSAT,212.84
MapleCOMSPS,guarantee,adding.1_safety_0.smv_k200.dimacs,UNSAT,321.46
BSaLTic-DHf,safety,adding.2_k1000.dimacs,UNSAT,3167.76
BSaLTic-EHf,safety,adding.2_k1000.dimacs,UNSAT,2737.33
Kissat,safety,adding.2_k1000.dimacs,UNSAT,1609.5
MapleCOMSPS,safety,adding.2_k1000.dimacs,UNSAT,3806.5
BSaLTic-DHf,safety,adding.2_k1400.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,adding.2_k1400.dimacs,UNSAT,4069.78
Kissat,safety,adding.2_k1400.dimacs,UNSAT,2031.72
MapleCOMSPS,safety,adding.2_k1400.dimacs,UNSAT,4601.51
BSaLTic-DHf,safety,adding.2_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,adding.2_k200.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,adding.2_k200.dimacs,UNSAT,532.463
MapleCOMSPS,safety,adding.2_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,adding.2_k2000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,adding.2_k2000.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,adding.2_k2000.dimacs,UNSAT,6533.16
MapleCOMSPS,safety,adding.2_k2000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,adding.2_k6000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,safety,adding.2_k6000.dimacs,wall clock limit exceeded,7200.0
Kissat,safety,adding.2_k6000.dimacs,wall clock limit exceeded,7200.02
MapleCOMSPS,safety,adding.2_k6000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,safety,adding.2_k800.dimacs,UNSAT,2713.79
BSaLTic-EHf,safety,adding.2_k800.dimacs,UNSAT,2792.71
Kissat,safety,adding.2_k800.dimacs,UNSAT,1100.61
MapleCOMSPS,safety,adding.2_k800.dimacs,UNSAT,3317.19
BSaLTic-DHf,obligation,adding.2_obligation_0.smv_k100.dimacs,UNSAT,3109.1
BSaLTic-EHf,obligation,adding.2_obligation_0.smv_k100.dimacs,UNSAT,3736.34
Kissat,obligation,adding.2_obligation_0.smv_k100.dimacs,UNSAT,330.331
MapleCOMSPS,obligation,adding.2_obligation_0.smv_k100.dimacs,UNSAT,3796.35
BSaLTic-DHf,obligation,adding.2_obligation_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,obligation,adding.2_obligation_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
Kissat,obligation,adding.2_obligation_0.smv_k1000.dimacs,UNSAT,3065.16
MapleCOMSPS,obligation,adding.2_obligation_0.smv_k1000.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,adding.2_obligation_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-EHf,obligation,adding.2_obligation_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
Kissat,obligation,adding.2_obligation_0.smv_k200.dimacs,UNSAT,1381.31
MapleCOMSPS,obligation,adding.2_obligation_0.smv_k200.dimacs,wall clock limit exceeded,7200.0
BSaLTic-DHf,obligation,adding.2_obligation_0.smv_k40.dimacs,UNSAT,38.23
BSaLTic-EHf,obligation,adding.2_obligation_0.smv_k40.dimacs,UNSAT,34.93
